Item,Label,Condition,WCO?,Quantifier/Definite,Determiner,Animate/Inanimate,Comp,Pronoun,Subject,V1,V2,Sentence example,Context,First Sentence,Second Sentence,,,,,Old context
11,scientist,YDI,yes,Definite,The,inanimate,which,its,soil sample,tested in the lab,showed,The soil sample which its scientist tested in the lab showed interesting results.,"Soil samples are inspected by certain scientists. A soil sample was tested in the lab by its scientist, and another was not.",Soil samples are inspected by certain scientists.,"A soil sample was tested in the lab by its scientist, and another was not.",,,,,
11,scientist,NQA,no,Quantifier,Every,animate,who,her,study participant,tested in the lab,showed,Every study participant who the scientist tested in the lab showed interesting results.,"There is a certain scientist. Some study participant were tested in the lab by that scientist, and others were not.",There is a certain scientist.,"Some study participant were tested in the lab by that scientist, and others were not.",,,,,
11,scientist,NQI,no,Quantifier,Every,inanimate,which,its,soil sample,tested in the lab,showed,Every soil sample which the scientist tested in the lab showed interesting results.,"There is a certain scientist. Some soil sample were tested in the lab by that scientist, and others were not.",There is a certain scientist.,"Some soil sample were tested in the lab by that scientist, and others were not.",,,,,
11,scientist,NDA,no,Definite,The,animate,who,her,study participant,tested in the lab,showed,The study participant who the scientist tested in the lab showed interesting results.,"There is a certain scientist. A study participant was tested in the lab by that scientist, and another was not.",There is a certain scientist.,"A study participant was tested in the lab by that scientist, and another was not.",,,,,
11,scientist,NDI,no,Definite,The,inanimate,which,its,soil sample,tested in the lab,showed,The soil sample which the scientist tested in the lab showed interesting results.,"There is a certain scientist. A soil sample was tested in the lab by that scientist, and another was not.",There is a certain scientist.,"A soil sample was tested in the lab by that scientist, and another was not.",,,,,
12,chef,YQA,yes,Quantifier,Every,animate,who,her,lunch lady,recommended,delighted,Every lunch lady who her chef recommended eagerly delighted the students.,"Lunch ladies are paired with chefs. Some lunch ladies were recommended by their chef, and others were not.",Lunch ladies are paired with chefs.,"Some lunch ladies were recommended by their chef, and others were not.",,,,,
12,chef,YQI,yes,Quantifier,Every,inanimate,which,its,school lunch,recommended,delighted,Every school lunch which its chef recommended eagerly delighted the students.,"School lunches are prepared by certain chefs. Some school lunches were recommended by their chef, and others were not.",School lunches are prepared by certain chefs.,"Some school lunches were recommended by their chef, and others were not.",,,,,
12,chef,YDA,yes,Definite,The,animate,who,her,lunch lady,recommended,delighted,The lunch lady who her chef recommended eagerly delighted the students.,"Lunch ladies are paired with chefs. A lunch lady was recommended by her chef, and another was not.",Lunch ladies are paired with chefs.,"A lunch lady was recommended by her chef, and another was not.",,,,,
12,chef,YDI,yes,Definite,The,inanimate,which,its,school lunch,recommended,delighted,The school lunch which its chef recommended eagerly delighted the students.,"School lunches are prepared by certain chefs. A school lunch was recommended by its chef, and another was not.",School lunches are prepared by certain chefs.,"A school lunch was recommended by its chef, and another was not.",,,,,
12,chef,NQA,no,Quantifier,Every,animate,who,her,lunch lady,recommended,delighted,Every lunch lady who the chef recommended eagerly delighted the students.,"There is a certain chef. Some lunch ladies were recommended by that chef, and others were not.",There is a certain chef.,"Some lunch ladies were recommended by that chef, and others were not.",,,,,
12,chef,NQI,no,Quantifier,Every,inanimate,which,its,school lunch,recommended,delighted,Every school lunch which the chef recommended eagerly delighted the students.,"There is a certain chef. Some school lunches were recommended by that chef, and others were not.",There is a certain chef.,"Some school lunches were recommended by that chef, and others were not.",,,,,
12,chef,NDA,no,Definite,The,animate,who,her,lunch lady,recommended,delighted,The lunch lady who the chef recommended eagerly delighted the students.,"There is a certain chef. A lunch lady was recommended by that chef, and another was not.",There is a certain chef.,"A lunch lady was recommended by that chef, and another was not.",,,,,
12,chef,NDI,no,Definite,The,inanimate,which,its,school lunch,recommended,delighted,The school lunch which the chef recommended eagerly delighted the students.,"There is a certain chef. A school lunch was recommended by that chef, and another was not.",There is a certain chef.,"A school lunch was recommended by that chef, and another was not.",,,,,
13,priest,YQA,yes,Quantifier,Every,animate,who,her,nun,promoted,was an inspiration,Every nun who her priest promoted was an inspiration to many people.,Nuns are paired with certain priests. Some nuns were promoted by their priest and others were not.,Nuns are paired with certain priests.,Some nuns were promoted by their priest and others were not.,,,,,
13,priest,YQI,yes,Quantifier,Every,inanimate,which,its,sermon,promoted,was an inspiration,Every sermon which its priest promoted was an inspiration to many people.,"Semons are delivered by certain priests. Some sermons were promoted by their priest, and others were not.",Semons are delivered by certain priests.,"Some sermons were promoted by their priest, and others were not.",,,,,
13,priest,YDA,yes,Definite,The,animate,who,her,nun,promoted,was an inspiration,The nun who her priest promoted was an inspiration to many people.,"Nuns are paired with certain priests. A nun was promoted by her priest, and another was not.",Nuns are paired with certain priests.,"A nun was promoted by her priest, and another was not.",,,,,
13,priest,YDI,yes,Definite,The,inanimate,which,its,sermon,promoted,was an inspiration,The sermon which its priest promoted was an inspiration to many people.,"Semons are delivered by certain priests. A sermon was promoted by its priest, and another was not.",Semons are delivered by certain priests.,"A sermon was promoted by its priest, and another was not.",,,,,
13,priest,NQA,no,Quantifier,Every,animate,who,her,nun,promoted,was an inspiration,Every nun who the priest promoted was an inspiration to many people.,There is a certain priest. Some nuns were promoted by that priest and others were not.,There is a certain priest.,Some nuns were promoted by that priest and others were not.,,,,,
13,priest,NQI,no,Quantifier,Every,inanimate,which,its,sermon,promoted,was an inspiration,Every sermon which the priest promoted was an inspiration to many people.,"There is a certain priest. Some sermons were promoted by that priest, and others were not.",There is a certain priest.,"Some sermons were promoted by that priest, and others were not.",,,,,
13,priest,NDA,no,Definite,The,animate,who,her,nun,promoted,was an inspiration,The nun who the priest promoted was an inspiration to many people.,"There is a certain priest. A nun was promoted by that priest, and another was not.",There is a certain priest.,"A nun was promoted by that priest, and another was not.",,,,,
13,priest,NDI,no,Definite,The,inanimate,which,its,sermon,promoted,was an inspiration,The sermon which the priest promoted was an inspiration to many people.,"There is a certain priest. A sermon was promoted by that priest, and another was not.",There is a certain priest.,"A sermon was promoted by that priest, and another was not.",,,,,
14,bartender,YQA,yes,Quantifier,Every,animate,who,her,waitress,praised on Friday,impressed,Every waitress who her bartender praised on Friday impressed the diners.,"Waitresses work with certain bartenders. Some waitresses were praised by their bartender on Friday, and others were not.",Waitresses work with certain bartenders.,"Some waitresses were praised by their bartender on Friday, and others were not.",,,,,
14,bartender,YQI,yes,Quantifier,Every,inanimate,which,its,cocktail,praised on Friday,impressed,Every cocktail which its bartender praised on Friday impressed the diners.,"Cocktails are made by certain bartenders. Some cocktails were praised by their bartender on Friday, and others were not.",Cocktails are made by certain bartenders.,"Some cocktails were praised by their bartender on Friday, and others were not.",,,,,
14,bartender,YDA,yes,Definite,The,animate,who,her,waitress,praised on Friday,impressed,The waitress who her bartender praised on Friday impressed the diners.,"Waitresses work with certain bartenders. A waitress was praised by her bartender on Friday, and another was not.",Waitresses work with certain bartenders.,"A waitress was praised by her bartender on Friday, and another was not.",,,,,
14,bartender,YDI,yes,Definite,The,inanimate,which,its,cocktail,praised on Friday,impressed,The cocktail which its bartender praised on Friday impressed the diners.,"Cocktails are made by certain bartenders. A cocktail was praised by its bartender on Friday, and another was not.",Cocktails are made by certain bartenders.,"A cocktail was praised by its bartender on Friday, and another was not.",,,,,
14,bartender,NQA,no,Quantifier,Every,animate,who,her,waitress,praised on Friday,impressed,Every waitress who the bartender praised on Friday impressed the diners.,"There is a certain bartender. Some waitresses were praised by that bartender on Friday, and others were not.",There is a certain bartender.,"Some waitresses were praised by that bartender on Friday, and others were not.",,,,,
14,bartender,NQI,no,Quantifier,Every,inanimate,which,its,cocktail,praised on Friday,impressed,Every cocktail which the bartender praised on Friday impressed the diners.,"There is a certain bartender. Some cocktails were praised by that bartender on Friday, and others were not.",There is a certain bartender.,"Some cocktails were praised by that bartender on Friday, and others were not.",,,,,
14,bartender,NDA,no,Definite,The,animate,who,her,waitress,praised on Friday,impressed,The waitress who the bartender praised on Friday impressed the diners.,"There is a certain bartender. A waitress was praised by that bartender on Friday, and another was not.",There is a certain bartender.,"A waitress was praised by that bartender on Friday, and another was not.",,,,,
14,bartender,NDI,no,Definite,The,inanimate,which,its,cocktail,praised on Friday,impressed,The cocktail which the bartender praised on Friday impressed the diners.,"There is a certain bartender. A cocktail was praised by that bartender on Friday, and another was not.",There is a certain bartender.,"A cocktail was praised by that bartender on Friday, and another was not.",,,,,
15,patient,YQA,yes,Quantifier,Every,animate,who,her,midwife,requested,was helpful,Every midwife who her patient requested was helpful in alleviating some pain.,"Midwives are paired with certain patients. Some midwives were requested by their patient, and others were not.",Midwives are paired with certain patients.,"Some midwives were requested by their patient, and others were not.",,,,,
15,patient,YQI,yes,Quantifier,Every,inanimate,which,its,treatment,requested,was helpful,Every treatment which its patient requested was helpful in alleviating some pain.,"Treatments are given to certain patients. Some treatments were requested by their patient, and others were not.",Treatments are given to certain patients.,"Some treatments were requested by their patient, and others were not.",,,,,
15,patient,YDA,yes,Definite,The,animate,who,her,midwife,requested,was helpful,The midwife who her patient requested was helpful in alleviating some pain.,"Midwives are paired with certain patients. A midwife was requested by her patient, and another was not.",Midwives are paired with certain patients.,"A midwife was requested by her patient, and another was not.",,,,,
15,patient,YDI,yes,Definite,The,inanimate,which,its,treatment,requested,was helpful,The treatment which its patient requested was helpful in alleviating some pain.,"Treatments are given to certain patients. A treatment was requested by its patient, and another was not.",Treatments are given to certain patients.,"A treatment was requested by its patient, and another was not.",,,,,
15,patient,NQA,no,Quantifier,Every,animate,who,her,midwife,requested,was helpful,Every midwife who the patient requested was helpful in alleviating some pain.,"There is a certain patient. Some midwives were requested by that patient, and others were not.",There is a certain patient.,"Some midwives were requested by that patient, and others were not.",,,,,
15,patient,NQI,no,Quantifier,Every,inanimate,which,its,treatment,requested,was helpful,Every treatment which the patient requested was helpful in alleviating some pain.,"There is a certain patient. Some treatments were requested by that patient, and others were not.",There is a certain patient.,"Some treatments were requested by that patient, and others were not.",,,,,
15,patient,NDA,no,Definite,The,animate,who,her,midwife,requested,was helpful,The midwife who the patient requested was helpful in alleviating some pain.,"There is a certain patient. A midwife was requested by that patient, and another was not.",There is a certain patient.,"A midwife was requested by that patient, and another was not.",,,,,
15,patient,NDI,no,Definite,The,inanimate,which,its,treatment,requested,was helpful,The treatment which the patient requested was helpful in alleviating some pain.,"There is a certain patient. A treatment was requested by that patient, and another was not.",There is a certain patient.,"A treatment was requested by that patient, and another was not.",,,,,
16,groom,YQA,yes,Quantifier,Every,animate,who,her,bride,brought to the altar,wowed,Every bride who her groom brought to the altar wowed the audience.,"Brides will be married to certain grooms. Some brides were brought to the altar by their groom, and others were not.",Brides will be married to certain grooms.,"Some brides were brought to the altar by their groom, and others were not.",,,,,
16,groom,YQI,yes,Quantifier,Every,inanimate,which,its,vow,brought to the altar,wowed,Every vow which its groom brought to the altar wowed the audience.,"Vows are given by certain grooms. Some vows were brought to the altar by their groom, and others were not.",Vows are given by certain grooms.,"Some vows were brought to the altar by their groom, and others were not.",,,,,
16,groom,YDA,yes,Definite,The,animate,who,her,bride,brought to the altar,wowed,The bride who her groom brought to the altar wowed the audience.,"Brides will be married to certain grooms. A bride was brought to the altar by her groom, and another was not.",Brides will be married to certain grooms.,"A bride was brought to the altar by her groom, and another was not.",,,,,
16,groom,YDI,yes,Definite,The,inanimate,which,its,vow,brought to the altar,wowed,The vow which its groom brought to the altar wowed the audience.,"Vows are given by certain grooms. A vow was brought to the altar by its groom, and another was not.",Vows are given by certain grooms.,"A vow was brought to the altar by its groom, and another was not.",,,,,
16,groom,NQA,no,Quantifier,Every,animate,who,her,bride,brought to the altar,wowed,Every bride who the groom brought to the altar wowed the audience.,"There is a certain groom. Some brides were brought to the altar by that groom, and others were not.",There is a certain groom.,"Some brides were brought to the altar by that groom, and others were not.",,,,,
16,groom,NQI,no,Quantifier,Every,inanimate,which,its,vow,brought to the altar,wowed,Every vow which the groom brought to the altar wowed the audience.,"There is a certain groom. Some vows were brought to the altar by that groom, and others were not.",There is a certain groom.,"Some vows were brought to the altar by that groom, and others were not.",,,,,
16,groom,NDA,no,Definite,The,animate,who,her,bride,brought to the altar,wowed,The bride who the groom brought to the altar wowed the audience.,"There is a certain groom. A bride was brought to the altar by that groom, and another was not.",There is a certain groom.,"A bride was brought to the altar by that groom, and another was not.",,,,,
16,groom,NDI,no,Definite,The,inanimate,which,its,vow,brought to the altar,wowed,The vow which the groom brought to the altar wowed the audience.,"There is a certain groom. A vow was brought to the altar by that groom, and another was not.",There is a certain groom.,"A vow was brought to the altar by that groom, and another was not.",,,,,
17,troopleader,YQA,yes,Quantifier,Every,animate,who,her,girl scout,introduced to the parents,became,Every girl scout who her troop leader introduced to the parents became widely popular.,"Girls scouts are paired with certain troop leaders. Some girl scouts were introduced to the parents by their troop leader, and others were not.",Girls scouts are paired with certain troop leaders.,"Some girl scouts were introduced to the parents by their troop leader, and others were not.",,,,,
17,troopleader,YQI,yes,Quantifier,Every,inanimate,which,its,camping trip,introduced to the parents,became,Every camping trip which its troop leader introduced to the parents became widely popular.,"Camping trips are overseen by certain troop leaders. Some camping trips were introduced to the parents by their troop leader, and others were not.",Camping trips are overseen by certain troop leaders.,"Some camping trips were introduced to the parents by their troop leader, and others were not.",,,,,
17,troopleader,YDA,yes,Definite,The,animate,who,her,girl scout,introduced to the parents,became,The girl scout who her troop leader introduced to the parents became widely popular.,"Girls scouts are paired with certain troop leaders. A girl scout was introduced to the parents by her troop leader, and another was not.",Girls scouts are paired with certain troop leaders.,"A girl scout was introduced to the parents by her troop leader, and another was not.",,,,,
17,troopleader,YDI,yes,Definite,The,inanimate,which,its,camping trip,introduced to the parents,became,The camping trip which its troop leader introduced to the parents became widely popular.,"Camping trips are overseen by certain troop leaders. A camping trip was introduced to the parents by its troop leader, and another was not.",Camping trips are overseen by certain troop leaders.,"A camping trip was introduced to the parents by its troop leader, and another was not.",,,,,
17,troopleader,NQA,no,Quantifier,Every,animate,who,her,girl scout,introduced to the parents,became,Every girl scout who the troop leader introduced to the parents became widely popular.,"There is a certain troop leader. Some girl scouts were introduced to the parents by that troop leader, and others were not.",There is a certain troop leader.,"Some girl scouts were introduced to the parents by that troop leader, and others were not.",,,,,
17,troopleader,NQI,no,Quantifier,Every,inanimate,which,its,camping trip,introduced to the parents,became,Every camping trip which the troop leader introduced to the parents became widely popular.,"There is a certain troop leader. Some camping trips were introduced to the parents by that troop leader, and others were not.",There is a certain troop leader.,"Some camping trips were introduced to the parents by that troop leader, and others were not.",,,,,
17,troopleader,NDA,no,Definite,The,animate,who,her,girl scout,introduced to the parents,became,The girl scout who the troop leader introduced to the parents became widely popular.,"There is a certain troop leader. A girl scout was introduced to the parents by that troop leader, and another was not.",There is a certain troop leader.,"A girl scout was introduced to the parents by that troop leader, and another was not.",,,,,
17,troopleader,NDI,no,Definite,The,inanimate,which,its,camping trip,introduced to the parents,became,The camping trip which the troop leader introduced to the parents became widely popular.,"There is a certain troop leader. A camping trip was introduced to the parents by that troop leader, and another was not.",There is a certain troop leader.,"A camping trip was introduced to the parents by that troop leader, and another was not.",,,,,
18,CEO,YQA,yes,Quantifier,Every,animate,who,her,secretary,remembered,impressed,Every secretary who her CEO remembered well impressed the board of trustees.,"Secretaries serve certain CEOs. Some secretaries were remembered by their CEO, and others were not.",Secretaries serve certain CEOs.,"Some secretaries were remembered by their CEO, and others were not.",,,,,
18,CEO,YQI,yes,Quantifier,Every,inanimate,which,its,contract,remembered,impressed,Every contract which its CEO remembered well impressed the board of trustees.,"Contracts are written by certain CEOs. Some contracts were remembered by their CEO, and others were not.",Contracts are written by certain CEOs.,"Some contracts were remembered by their CEO, and others were not.",,,,,
18,CEO,YDA,yes,Definite,The,animate,who,her,secretary,remembered,impressed,The secretary who her CEO remembered well impressed the board of trustees.,"Secretaries serve certain CEOs. A secretary was remembered by her CEO, and another was not.",Secretaries serve certain CEOs.,"A secretary was remembered by her CEO, and another was not.",,,,,
18,CEO,YDI,yes,Definite,The,inanimate,which,its,contract,remembered,impressed,The contract which its CEO remembered well impressed the board of trustees.,"Contracts are written by certain CEOs. A contract was remembered by its CEO, and another was not.",Contracts are written by certain CEOs.,"A contract was remembered by its CEO, and another was not.",,,,,
18,CEO,NQA,no,Quantifier,Every,animate,who,her,secretary,remembered,impressed,Every secretary who the CEO remembered well impressed the board of trustees.,"There is a certain CEO. Some secretaries were remembered by that CEO, and others were not.",There is a certain CEO.,"Some secretaries were remembered by that CEO, and others were not.",,,,,
18,CEO,NQI,no,Quantifier,Every,inanimate,which,its,contract,remembered,impressed,Every contract which the CEO remembered well impressed the board of trustees.,"There is a certain CEO. Some contracts were remembered by that CEO, and others were not.",There is a certain CEO.,"Some contracts were remembered by that CEO, and others were not.",,,,,
18,CEO,NDA,no,Definite,The,animate,who,her,secretary,remembered,impressed,The secretary who the CEO remembered well impressed the board of trustees.,"There is a certain CEO. A secretary was remembered by that CEO, and another was not.",There is a certain CEO.,"A secretary was remembered by that CEO, and another was not.",,,,,
18,CEO,NDI,no,Definite,The,inanimate,which,its,contract,remembered,impressed,The contract which the CEO remembered well impressed the board of trustees.,"There is a certain CEO. A contract was remembered by that CEO, and another was not.",There is a certain CEO.,"A contract was remembered by that CEO, and another was not.",,,,,
19,dentist,YQA,yes,Quantifier,Every,animate,who,her,assistant,selected,stressed,Every assistant who her dentist selected to help with the procedure stressed out the patient.,"Assistants serve certain dentists. Some assistants were selected by their dentist, and others were not.",Assistants serve certain dentists.,"Some assistants were selected by their dentist, and others were not.",,,,,
19,dentist,YQI,yes,Quantifier,Every,inanimate,which,its,tool,selected,stressed,Every tool which its dentist selected to help with the procedure stressed out the patient.,"Tools are used by certain dentists. Some tools were selected by their dentist, and others were not.",Tools are used by certain dentists.,"Some tools were selected by their dentist, and others were not.",,,,,
19,dentist,YDA,yes,Definite,The,animate,who,her,assistant,selected,stressed,The assistant who her dentist selected to help with the procedure stressed out the patient.,"Assistants serve certain dentists. An assistant was selected by her dentist, and another was not.",Assistants serve certain dentists.,"An assistant was selected by her dentist, and another was not.",,,,,
19,dentist,YDI,yes,Definite,The,inanimate,which,its,tool,selected,stressed,The tool which its dentist selected to help with the procedure stressed out the patient.,"Tools are used by certain dentists. A tool was selected by its dentist, and another was not.",Tools are used by certain dentists.,"A tool was selected by its dentist, and another was not.",,,,,
19,dentist,NQA,no,Quantifier,Every,animate,who,her,assistant,selected,stressed,Every assistant who the dentist selected to help with the procedure stressed out the patient.,"There is a certain dentist. Some assistants were selected by that dentist, and others were not.",There is a certain dentist.,"Some assistants were selected by that dentist, and others were not.",,,,,
19,dentist,NQI,no,Quantifier,Every,inanimate,which,its,tool,selected,stressed,Every tool which the dentist selected to help with the procedure stressed out the patient.,"There is a certain dentist. Some tools were selected by that dentist, and others were not.",There is a certain dentist.,"Some tools were selected by that dentist, and others were not.",,,,,
19,dentist,NDA,no,Definite,The,animate,who,her,assistant,selected,stressed,The assistant who the dentist selected to help with the procedure stressed out the patient.,"There is a certain dentist. An assistant was selected by that dentist, and another was not.",There is a certain dentist.,"An assistant was selected by that dentist, and another was not.",,,,,
19,dentist,NDI,no,Definite,The,inanimate,which,its,tool,selected,stressed,The tool which the dentist selected to help with the procedure stressed out the patient.,"There is a certain dentist. A tool was selected by that dentist, and another was not.",There is a certain dentist.,"A tool was selected by that dentist, and another was not.",,,,,
20,nutritionist,YQA,yes,Quantifier,Every,animate,who,her,influencer,denounced in a blogpost,gained,Every influencer who her nutritionist denounced in a blogpost gained a cult-like following.,"Influencers are paired with certain nutritionists. Some influencers were denounced in a blogpost by their nutritionist, and others were not.",Influencers are paired with certain nutritionists.,"Some influencers were denounced in a blogpost by their nutritionist, and others were not.",,,,,
20,nutritionist,YQI,yes,Quantifier,Every,inanimate,which,its,mealkit,denounced in a blogpost,gained,Every mealkit which its nutritionist denounced in a blogpost gained a cult-like following.,"Mealkits are paired with certain nutritionists. Some mealkits were denounced in a blogpost by their nutritionist, and others were not.",Mealkits are paired with certain nutritionists.,"Some mealkits were denounced in a blogpost by their nutritionist, and others were not.",,,,,
20,nutritionist,YDA,yes,Definite,The,animate,who,her,influencer,denounced in a blogpost,gained,The influencer who her nutritionist denounced in a blogpost gained a cult-like following.,"Influencers are paired with certain nutritionists. A influencer was denounced in a blogpost by her nutritionist, and another was not.",Influencers are paired with certain nutritionists.,"A influencer was denounced in a blogpost by her nutritionist, and another was not.",,,,,
20,nutritionist,YDI,yes,Definite,The,inanimate,which,its,mealkit,denounced in a blogpost,gained,The mealkit which its nutritionist denounced in a blogpost gained a cult-like following.,"Mealkits are paired with certain nutritionists. A mealkit was denounced in a blogpost by its nutritionist, and another was not.",Mealkits are paired with certain nutritionists.,"A mealkit was denounced in a blogpost by its nutritionist, and another was not.",,,,,
20,nutritionist,NQA,no,Quantifier,Every,animate,who,her,influencer,denounced in a blogpost,gained,Every influencer who the nutritionist denounced in a blogpost gained a cult-like following.,"There is a certain nutritionist. Some influencers were denounced in a blogpost by that nutritionist, and others were not.",There is a certain nutritionist.,"Some influencers were denounced in a blogpost by that nutritionist, and others were not.",,,,,
20,nutritionist,NQI,no,Quantifier,Every,inanimate,which,its,mealkit,denounced in a blogpost,gained,Every mealkit which the nutritionist denounced in a blogpost gained a cult-like following.,"There is a certain nutritionist. Some mealkits were denounced in a blogpost by that nutritionist, and others were not.",There is a certain nutritionist.,"Some mealkits were denounced in a blogpost by that nutritionist, and others were not.",,,,,
20,nutritionist,NDA,no,Definite,The,animate,who,her,influencer,denounced in a blogpost,gained,The influencer who the nutritionist denounced in a blogpost gained a cult-like following.,"There is a certain nutritionist. A influencer was denounced in a blogpost by that nutritionist, and another was not.",There is a certain nutritionist.,"A influencer was denounced in a blogpost by that nutritionist, and another was not.",,,,,
20,nutritionist,NDI,no,Definite,The,inanimate,which,its,mealkit,denounced in a blogpost,gained,The mealkit which the nutritionist denounced in a blogpost gained a cult-like following.,"There is a certain nutritionist. A mealkit was denounced in a blogpost by that nutritionist, and another was not.",There is a certain nutritionist.,"A mealkit was denounced in a blogpost by that nutritionist, and another was not.",,,,,
21,choreographer,YQA,yes,Quantifier,Every,animate,who,her,ballerina,discussed at the party,never had,Every ballerina who her choreographer discussed at the party never had a debut.,"Ballerinas are helped by certain choreographers. Some ballerinas were discussed at the party by their choreographer, and others were not.",Ballerinas are helped by certain choreographers.,"Some ballerinas were discussed at the party by their choreographer, and others were not.",,,,,
21,choreographer,YQI,yes,Quantifier,Every,inanimate,which,its,ballet,discussed at the party,never had,Every ballet which its choreographer discussed at the party never had a debut.,"Ballets are studied by certain choreographers. Some ballets were discussed at the party by their choreographer, and others were not.",Ballets are studied by certain choreographers.,"Some ballets were discussed at the party by their choreographer, and others were not.",,,,,
21,choreographer,YDA,yes,Definite,The,animate,who,her,ballerina,discussed at the party,never had,The ballerina who her choreographer discussed at the party never had a debut.,"Ballerinas are helped by certain choreographers. A ballerina was discussed at the party by her choreographer, and another was not.",Ballerinas are helped by certain choreographers.,"A ballerina was discussed at the party by her choreographer, and another was not.",,,,,
21,choreographer,YDI,yes,Definite,The,inanimate,which,its,ballet,discussed at the party,never had,The ballet which its choreographer discussed at the party never had a debut.,"Ballets are studied by certain choreographers. A ballet was discussed at the party by its choreographer, and another was not.",Ballets are studied by certain choreographers.,"A ballet was discussed at the party by its choreographer, and another was not.",,,,,
21,choreographer,NQA,no,Quantifier,Every,animate,who,her,ballerina,discussed at the party,never had,Every ballerina who the choreographer discussed at the party never had a debut.,"There is a certain choreographer. Some ballerinas were discussed at the party by that choreographer, and others were not.",There is a certain choreographer.,"Some ballerinas were discussed at the party by that choreographer, and others were not.",,,,,
21,choreographer,NQI,no,Quantifier,Every,inanimate,which,its,ballet,discussed at the party,never had,Every ballet which the choreographer discussed at the party never had a debut.,"There is a certain choreographer. Some ballets were discussed at the party by that choreographer, and others were not.",There is a certain choreographer.,"Some ballets were discussed at the party by that choreographer, and others were not.",,,,,
21,choreographer,NDA,no,Definite,The,animate,who,her,ballerina,discussed at the party,never had,The ballerina who the choreographer discussed at the party never had a debut.,"There is a certain choreographer. A ballerina was discussed at the party by that choreographer, and another was not.",There is a certain choreographer.,"A ballerina was discussed at the party by that choreographer, and another was not.",,,,,
21,choreographer,NDI,no,Definite,The,inanimate,which,its,ballet,discussed at the party,never had,The ballet which the choreographer discussed at the party never had a debut.,"There is a certain choreographer. A ballet was discussed at the party by that choreographer, and another was not.",There is a certain choreographer.,"A ballet was discussed at the party by that choreographer, and another was not.",,,,,
22,stylist,YQA,yes,Quantifier,Every,animate,who,her,hair dresser,complimented enthusiastically,provided,Every hair dresser who her stylist complimented enthusiastically provided top of the line coloring services.,"Hair dressers are paired with certain stylists. Some hair dressers were complimented enthusiastically by their stylist, and others were not.",Hair dressers are paired with certain stylists.,"Some hair dressers were complimented enthusiastically by their stylist, and others were not.",,,,,
22,stylist,YQI,yes,Quantifier,Every,inanimate,which,its,hair salon,complimented enthusiastically,provided,Every hair salon which its stylist complimented enthusiastically provided top of the line coloring services.,"Hair salons are owned by certain stylists. Some hair salons were complimented enthusiastically by their stylist, and others were not.",Hair salons are owned by certain stylists.,"Some hair salons were complimented enthusiastically by their stylist, and others were not.",,,,,
22,stylist,YDA,yes,Definite,The,animate,who,her,hair dresser,complimented enthusiastically,provided,The hair dresser who her stylist complimented enthusiastically provided top of the line coloring services.,"Hair dressers are paired with certain stylists. A hair dresser was complimented enthusiastically by her stylist, and another was not.",Hair dressers are paired with certain stylists.,"A hair dresser was complimented enthusiastically by her stylist, and another was not.",,,,,
22,stylist,YDI,yes,Definite,The,inanimate,which,its,hair salon,complimented enthusiastically,provided,The hair salon which its stylist complimented enthusiastically provided top of the line coloring services.,"Hair salons are owned by certain stylists. A hair salon was complimented enthusiastically by its stylist, and another was not.",Hair salons are owned by certain stylists.,"A hair salon was complimented enthusiastically by its stylist, and another was not.",,,,,
22,stylist,NQA,no,Quantifier,Every,animate,who,her,hair dresser,complimented enthusiastically,provided,Every hair dresser who the stylist complimented enthusiastically provided top of the line coloring services.,"There is a certain stylist. Some hair dressers were complimented enthusiastically by that stylist, and others were not.",There is a certain stylist.,"Some hair dressers were complimented enthusiastically by that stylist, and others were not.",,,,,
22,stylist,NQI,no,Quantifier,Every,inanimate,which,its,hair salon,complimented enthusiastically,provided,Every hair salon which the stylist complimented enthusiastically provided top of the line coloring services.,"There is a certain stylist. Some hair salons were complimented enthusiastically by that stylist, and others were not.",There is a certain stylist.,"Some hair salons were complimented enthusiastically by that stylist, and others were not.",,,,,
22,stylist,NDA,no,Definite,The,animate,who,her,hair dresser,complimented enthusiastically,provided,The hair dresser who the stylist complimented enthusiastically provided top of the line coloring services.,"There is a certain stylist. A hair dresser was complimented enthusiastically by that stylist, and another was not.",There is a certain stylist.,"A hair dresser was complimented enthusiastically by that stylist, and another was not.",,,,,
22,stylist,NDI,no,Definite,The,inanimate,which,its,hair salon,complimented enthusiastically,provided,The hair salon which the stylist complimented enthusiastically provided top of the line coloring services.,"There is a certain stylist. A hair salon was complimented enthusiastically by that stylist, and another was not.",There is a certain stylist.,"A hair salon was complimented enthusiastically by that stylist, and another was not.",,,,,
23,fan,YQA,yes,Quantifier,Every,animate,who,her,actress,lauded on Twitter,was nominated ,Every actress who her #1 fan lauded on twitter was nominated for an award.,"Actresses have certain #1 fans. Some actresses were lauded on Twitter by their fan, and others were not.",Actresses have certain #1 fans.,"Some actresses were lauded on Twitter by their fan, and others were not.",,,,,
23,fan,YQI,yes,Quantifier,Every,inanimate,which,its,performance,lauded on Twitter,was nominated ,Every performance which its #1 fan lauded on twitter was nominated for an award.,"Performances have certain #1 fans. Some performances were lauded on Twitter by their fan, and others were not.",Performances have certain #1 fans.,"Some performances were lauded on Twitter by their fan, and others were not.",,,,,
